Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMHC-11534	NA	Pit 10 E-8 9ft	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt dentary w/ p3-m2			
LACMHC-11587	NA	Pit 10 E-8 9ft	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi				
LACMHC-130857	NA	Bliss 29	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt humerus	no distal epiph, juv		
LACMHC-142763	NA	Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt anterior dentary w/ p3-m3			
LACMHC-142764	NA	Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt anterior dentary w/ p3-m1			
LACMHC-142766	NA	Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt partial dentary w/ p3-m1			
LACMHC-142767	NA	No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lt dentary w/ p3-m2			
LACMHC-142772	NA	No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	lt dentary w/ p3-m2	juv	1/12/2020	
LACMHC-142773	NA	Pit A	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt anterior dentary w/ p3-p4			
LACMHC-142778	NA	Pit A	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt dentary w/ p3-m2			
LACMHC-142779	NA	Pit A	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	bachmani	rt dentary w/ p3-m2			
LACMV-2173	NA	Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii				
LACMV-4516	NA	No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt femur	no distal epiph, juv		
LACMV-4520	NA	No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt femur	no distal epiph, juv		
LACMV-4524	NA	No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt proximal femur	juv		
LACMV-4531	NA	Pit 16	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lt femur			
LACMV-2174	NA	Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	bachmani	rt dentary w/ p3-m2			
LACMHC-11584	NA	Pit 10	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt dentary	juv		
LACMHC-11541	NA	Pit 10	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt distal humerus			
V-4514	NA	No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt femur	juv		
LACMHC-143517	NA	No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	rt distal humerus	large		
V-2751	NA	No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2737	NA	No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2644	NA	Pit 4	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2645	NA	Pit 4	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2641	NA	Pit 4	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-4509	NA	Pit 10	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt tibia	juv/subadult		
